CategoryId,Name,Path,PromotionID,Price
6328,"Badges","/Antiques-collectables/Militaria/Badges",1,
6328,"Badges","/Antiques-collectables/Militaria/Badges",2,0.5500
6328,"Badges","/Antiques-collectables/Militaria/Badges",3,3.4500
6328,"Badges","/Antiques-collectables/Militaria/Badges",4,3.9500
6327,"Carbon credits","/Business-farming-industry/Carbon-credits",1,
6327,"Carbon credits","/Business-farming-industry/Carbon-credits",2,2.0000
6327,"Carbon credits","/Business-farming-industry/Carbon-credits",3,10.0000
6327,"Carbon credits","/Business-farming-industry/Carbon-credits",4,15.0000
6329,"Home & garden","/Books/Magazines/Home-garden",1,
6329,"Home & garden","/Books/Magazines/Home-garden",2,0.2500
6329,"Home & garden","/Books/Magazines/Home-garden",3,0.7500
6329,"Home & garden","/Books/Magazines/Home-garden",4,0.9500
6330,"Business & technology","/Books/Magazines/Business-technology",1,
6330,"Business & technology","/Books/Magazines/Business-technology",2,0.2500
6330,"Business & technology","/Books/Magazines/Business-technology",3,0.7500
6330,"Business & technology","/Books/Magazines/Business-technology",4,0.9500
6332,"Art & craft","/Books/Magazines/Art-craft",1,
6332,"Art & craft","/Books/Magazines/Art-craft",2,0.2500
6332,"Art & craft","/Books/Magazines/Art-craft",3,0.7500
6332,"Art & craft","/Books/Magazines/Art-craft",4,0.9500
6333,"Royalty","/Books/Nonfiction/Biography/Royalty",1,
6333,"Royalty","/Books/Nonfiction/Biography/Royalty",2,0.2500
6333,"Royalty","/Books/Nonfiction/Biography/Royalty",3,0.7500
6333,"Royalty","/Books/Nonfiction/Biography/Royalty",4,0.9500
6334,"Dogs","/Books/Nonfiction/Pets/Dogs",1,
6334,"Dogs","/Books/Nonfiction/Pets/Dogs",2,0.2500
6334,"Dogs","/Books/Nonfiction/Pets/Dogs",3,0.7500
6334,"Dogs","/Books/Nonfiction/Pets/Dogs",4,0.9500
6335,"Cats","/Books/Nonfiction/Pets/Cats",1,
6335,"Cats","/Books/Nonfiction/Pets/Cats",2,0.2500
6335,"Cats","/Books/Nonfiction/Pets/Cats",3,0.7500
6335,"Cats","/Books/Nonfiction/Pets/Cats",4,0.9500
6336,"Fish","/Books/Nonfiction/Pets/Fish",1,
6336,"Fish","/Books/Nonfiction/Pets/Fish",2,0.2500
6336,"Fish","/Books/Nonfiction/Pets/Fish",3,0.7500
6336,"Fish","/Books/Nonfiction/Pets/Fish",4,0.9500
